author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Владис Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303817435/;Дмитров;sale;flat;7;9;4;68.9;6000000;Дмитров; Космонавтов;21;;
Милан Гаркалов;realtor;https://dmitrov.cian.ru/sale/flat/306346604/;Дмитров;sale;flat;9;17;3;81.3;11300000;Дмитров; 2-я Комсомольская;16к1;;На Высоковольтной
Градомиръ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/302944567/;Дмитров;sale;flat;12;15;3;85.2;8800000;; Архитектора В.В. Белоброва;5;Лобня;
ПАНОРАМА 50;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308515454/;Дмитров;sale;flat;13;14;3;112.0;17800000;;;;;
ID 56546882;homeowner;https://dmitrov.cian.ru/sale/flat/273570819/;Дмитров;sale;flat;2;9;3;61.8;7300000;Дмитров; Космонавтов;37;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305641195/;Дмитров;sale;flat;2;2;3;61.1;5650000;Дмитров;Гравийная ;23;;
Этажи Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308679047/;Дмитров;sale;flat;9;9;4;67.5;6900000;;;;;
Эксперт-Риелт 24;real_estate_agent;https://dmitrov.cian.ru/sale/flat/304238537/;Дмитров;sale;flat;3;4;3;114.8;5900000;Дмитров;Луговая ;14;;Дмитрослав
Этажи Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308784931/;Дмитров;sale;flat;9;9;4;60.0;7300000;;;;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305508995/;Дмитров;sale;flat;5;17;3;81.3;9500000;Дмитров; 2-я Комсомольская;16к1;;На Высоковольтной
ID 15710584;realtor;https://dmitrov.cian.ru/sale/flat/303367411/;Дмитров;sale;flat;6;9;3;56.9;5900000;Дмитров; 2-я Комсомольская;15А;;
КварталСити;real_estate_agent;https://dmitrov.cian.ru/sale/flat/294154769/;Дмитров;sale;flat;6;6;3;83.4;8700000;Дмитров;Оборонная ;6;;
Елена Четверикова;realtor;https://dmitrov.cian.ru/sale/flat/308394978/;Дмитров;sale;flat;13;14;3;67.5;6500000;;;;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308399457/;Дмитров;sale;flat;3;9;4;68.3;6500000;Дмитров;Внуковская ;33а;;
ID 96839302;unknown;https://dmitrov.cian.ru/sale/flat/308209897/;Дмитров;sale;flat;6;9;3;60.0;5990000;Дмитров; Космонавтов;38;;
Альтернатива;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308568607/;Дмитров;sale;flat;7;9;3;61.9;6400000;Дмитров;Загорская ;34;;
ID 15062968;real_estate_agent;https://dmitrov.cian.ru/sale/flat/298489397/;Дмитров;sale;flat;6;9;3;68.0;7000000;;;;;
КварталСити;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308932588/;Дмитров;sale;flat;11;17;3;84.6;9500000;;;;;
Градомиръ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/274096088/;Дмитров;sale;flat;2;3;3;67.6;6000000;;Чекистская ;12;Алтуфьево;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303755724/;Дмитров;sale;flat;1;2;3;98.6;8200000;Дмитров;Большевистский переулок;2;;
ID 83224954;unknown;https://dmitrov.cian.ru/sale/flat/307489712/;Дмитров;sale;flat;7;15;3;78.6;7200000;Дмитров; Спасская;6А;;Спасские ворота
МК-Гарант;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308940082/;Дмитров;sale;flat;5;9;3;61.2;7199000;;;;;
ID 86073464;homeowner;https://dmitrov.cian.ru/sale/flat/288509649/;Дмитров;sale;flat;3;16;3;73.0;8500000;Дмитров; Спасская;6А;;Спасские ворота
Эксперт-Риелт 24;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305973024/;Дмитров;sale;flat;5;10;3;60.0;7750000;Дмитров;Вокзальная ;18А;;
Градомиръ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/301409626/;Дмитров;sale;flat;1;5;4;58.6;6050000;;;27;Лобня;
Сергей Пастухов;realtor;https://dmitrov.cian.ru/sale/flat/306092164/;Дмитров;sale;flat;7;9;3;61.2;5899000;;;;;
Инвест МСК;real_estate_agent;https://dmitrov.cian.ru/sale/flat/265432880/;Дмитров;sale;flat;15;16;3;83.3;6350000;Дмитров; Спасская;6А;;Спасские ворота
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306822593/;Дмитров;sale;flat;4;9;3;60.0;7080000;Дмитров;Загорская ;32;;
ID 28649090;unknown;https://dmitrov.cian.ru/sale/flat/305723067/;Дмитров;sale;flat;7;9;3;72.0;7500000;Дмитров;Внуковская ;31;;
ИМПЕРИАЛ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306974521/;Дмитров;sale;flat;11;15;3;89.4;11850000;Дмитров; Космонавтов;52;;
31 Квартал;real_estate_agent;https://dmitrov.cian.ru/sale/flat/302714469/;Дмитров;sale;flat;8;15;3;81.2;12500000;Дмитров;Пионерская ;2;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306566286/;Дмитров;sale;flat;4;5;3;60.5;7800000;Дмитров;Чекистская ;7;;
ГОРОБМЕН;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305862078/;Дмитров;sale;flat;3;9;3;95.7;10490000;;;;;
МК Инвест;real_estate_agent;https://dmitrov.cian.ru/sale/flat/290586051/;Дмитров;sale;flat;3;3;3;169.4;7700000;Дмитров;Луговая ;14;;Дмитрослав
ID 15062968;real_estate_agent;https://dmitrov.cian.ru/sale/flat/296755540/;Дмитров;sale;flat;8;11;3;85.0;11490000;Дмитров;Чекистская ;8;;Славянский
АэНБИ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/292582184/;Дмитров;sale;flat;6;9;3;62.0;7100000;;;;;
ЖСС Недвижимость;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303065191/;Дмитров;sale;flat;1;9;3;67.7;6700000;Дмитров;Оборонная ;1;;
Звезда Подмосковья;real_estate_agent;https://dmitrov.cian.ru/sale/flat/304064047/;Дмитров;sale;flat;1;5;3;70.2;6500000;Дмитров;Комсомольская ;6;;
Владис Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305912046/;Дмитров;sale;flat;3;9;3;68.3;6500000;;;;;
ПАРУСА;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307457119/;Дмитров;sale;flat;17;17;3;67.5;9500000;;;;;Лесной квартал
Градомиръ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308781747/;Дмитров;sale;flat;4;17;3;78.6;7600000;;;;;Лесной квартал
Городской Центр Недвижимости;real_estate_agent;https://dmitrov.cian.ru/sale/flat/294167602/;Дмитров;sale;flat;7;9;3;59.3;6700000;Дмитров; Космонавтов;38;;
ID 107112196;homeowner;https://dmitrov.cian.ru/sale/flat/307639183/;Дмитров;sale;flat;2;9;3;59.0;7100000;Дмитров;Загорская ;34;;
ПАНОРАМА 50;real_estate_agent;https://dmitrov.cian.ru/sale/flat/298809104/;Дмитров;sale;flat;2;3;3;84.8;8100000;Дмитров; Спасская;17;;Новоспасский
Звезда Подмосковья;real_estate_agent;https://dmitrov.cian.ru/sale/flat/285387556/;Дмитров;sale;flat;7;9;3;62.0;6700000;Дмитров;Школьная ;9;;
Владис Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308638122/;Дмитров;sale;flat;5;10;3;90.9;12300000;Дмитров;Профессиональная ;26;;
ОЛИМП-НЕДВИЖИМОСТЬ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307656845/;Дмитров;sale;flat;1;9;3;58.8;6400000;Дмитров;Внуковская ;33а;;
ПАРУСА;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305698993/;Дмитров;sale;flat;8;9;3;65.6;7240000;;;;;
ID 48598354;homeowner;https://dmitrov.cian.ru/sale/flat/307685991/;Дмитров;sale;flat;6;14;3;63.0;7400000;;;;;
Эксперт-Риелт 24;real_estate_agent;https://dmitrov.cian.ru/sale/flat/294194241/;Дмитров;sale;flat;15;17;3;88.0;12500000;Дмитров; 2-я Комсомольская;16к2;;На Высоковольтной
Этажи Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308679154/;Дмитров;sale;flat;7;9;3;58.4;7500000;;;;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305095093/;Дмитров;sale;flat;6;9;3;61.2;7350000;Дмитров;Московская ;5;;
BROKER-HOME;real_estate_agent;https://dmitrov.cian.ru/sale/flat/296576671/;Дмитров;sale;flat;5;9;3;73.0;7990000;Дмитров; Подъячева;13;;
ID 81681617;homeowner;https://dmitrov.cian.ru/sale/flat/304555088/;Дмитров;sale;flat;12;16;3;79.3;10700000;Дмитров;Сенная ;24;;
Татьяна Москальцова;realtor;https://dmitrov.cian.ru/sale/flat/298564749/;Дмитров;sale;flat;5;5;4;58.6;5900000;;;;;
Этажи Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308692230/;Дмитров;sale;flat;4;17;3;78.6;7600000;;;;;Лесной квартал
